"X","Year","Term.Number","Department","Course.Number","Number.of.Sections","Enrollments","Median.GPA.Points","Average.Section.Size"
0,2021,3,"AAAS",31.1,1,14,4,14
1,2021,3,"AAAS",31.9,1,17,4,17
2,2021,3,"AAAS",60.01,1,19,3.66666666666667,14
3,2021,3,"AAAS",62.75,1,29,4,29
4,2021,3,"AAAS",65.65,1,16,3.33333333333333,16
5,2021,3,"AAAS",88.19,1,19,4,19
6,2021,3,"ANTH",3,1,58,3.66666666666667,58
7,2021,3,"ANTH",18,1,16,4,16
8,2021,3,"",12.19,1,24,4,24
9,2021,3,"ARTH",17.06,1,21,3.66666666666667,21
10,2021,3,"ARTH",47.01,1,27,3.66666666666667,27
11,2021,3,"ARTH",62.71,1,19,3.66666666666667,21
12,2021,3,"ASCL",54.09,1,22,3.66666666666667,22
13,2021,3,"ASCL",60.24,1,25,4,25
14,2021,3,"ASCL",70.18,2,88,4,44
15,2021,3,"ASTR",1,1,97,3.33333333333333,97
16,2021,3,"ASTR",2,2,62,4,31
17,2021,3,"BIOL",13,1,71,3,71
18,2021,3,"BIOL",8.04,1,13,4,13
19,2021,3,"BIOL",45,1,19,4,19
20,2021,3,"CHEM",52,1,65,3,49
21,2021,3,"CHEM",63,1,16,3.5,16
22,2021,3,"CLST",4,2,102,3.85947712418301,51
23,2021,3,"CLST",12.02,2,29,3.66666666666667,14.5
24,2021,3,"",31,1,17,4,17
25,2021,3,"COGS",11.03,1,17,3.66666666666667,17
26,2022,1,"",18.04,1,32,4,32
27,2021,3,"COLT",39.03,1,16,4,16
28,2021,3,"COLT",40.23,1,16,3.33333333333333,16
29,2021,3,"COLT",57.1,1,44,4,44
30,2021,3,"COSC",21,1,25,4,25
31,2021,3,"COSC",30,1,55,3.33333333333333,63
32,2021,3,"COSC",50,1,41,4,41
33,2021,3,"COSC",56,1,36,3.66666666666667,36
34,2021,3,"COSC",59,1,30,4,30
35,2021,3,"CRWT",11,2,23,4,11.5
36,2021,3,"EARS",5,1,71,3.66666666666667,71
37,2021,3,"EARS",40,1,27,4,27
38,2021,3,"ECON",20,2,84,3.33333333333333,42
39,2021,3,"ECON",2,2,110,3.33333333333333,55
40,2021,3,"",22,1,39,3.33333333333333,39
41,2021,3,"ECON",26,2,92,3.66666666666667,46
42,2021,3,"EDUC",17,1,10,2.66666666666667,15
43,2021,3,"ENGL",44,1,13,3.66666666666667,20
44,2021,3,"",48,1,19,4,10
45,2021,3,"ENGL",52.1,1,21,3.66666666666667,23
46,2021,3,"ENGL",53.22,1,12,3.66666666666667,12
47,2021,3,"ENGL",53.39,1,29,4,29
48,2021,3,"ENGL",64.01,1,15,3.66666666666667,15
49,2021,3,"ENGS",2,1,50,4,50
50,2021,3,"ENGS",21,1,42,4,42
51,2021,3,"ENGS",22,1,39,4,39
52,2021,3,"ENGS",25,1,13,3.82758620689655,13
53,2021,3,"ENGS",27,1,19,4,19
54,2021,3,"ENGS",31,1,36,3.66666666666667,36
55,2021,3,"ENGS",33,1,14,4,14
56,2021,3,"ENGS",37,2,27,3.60493827160494,13.5
